"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-29 years"	"25-29"	632	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	823	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	1024	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	1330	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	1752	Not Applicable	Not Applicable
	"Alabama"	"01"	"50-54 years"	"50-54"	2639	Not Applicable	Not Applicable
	"Alabama"	"01"	"55-59 years"	"55-59"	4141	Not Applicable	Not Applicable
	"Alabama"	"01"	"60-64 years "	"60-64"	5988	Not Applicable	Not Applicable
	"Alabama"	"01"	"65-69 years"	"65-69"	6882	Not Applicable	Not Applicable
	"Alabama"	"01"	"70-74 years"	"70-74"	8536	Not Applicable	Not Applicable
	"Alabama"	"01"	"75-79 years"	"75-79"	8745	Not Applicable	Not Applicable
	"Alabama"	"01"	"80-84 years"	"80-84"	8821	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	8077	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	5605	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	2158	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	447	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"			67600	Not Applicable	Not Applicable
	"Alaska"	"02"	"25-29 years"	"25-29"	106	Not Applicable	Not Applicable
	"Alaska"	"02"	"30-34 years"	"30-34"	146	Not Applicable	Not Applicable
	"Alaska"	"02"	"35-39 years"	"35-39"	160	Not Applicable	Not Applicable
	"Alaska"	"02"	"40-44 years"	"40-44"	127	Not Applicable	Not Applicable
	"Alaska"	"02"	"45-49 years"	"45-49"	182	Not Applicable	Not Applicable
	"Alaska"	"02"	"50-54 years"	"50-54"	238	Not Applicable	Not Applicable
	"Alaska"	"02"	"55-59 years"	"55-59"	379	Not Applicable	Not Applicable
	"Alaska"	"02"	"60-64 years "	"60-64"	477	Not Applicable	Not Applicable
