"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-29 years"	"25-29"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	151	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	244	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	432	Not Applicable	Not Applicable
	"Alabama"	"01"	"50-54 years"	"50-54"	634	Not Applicable	Not Applicable
	"Alabama"	"01"	"55-59 years"	"55-59"	1045	Not Applicable	Not Applicable
	"Alabama"	"01"	"60-64 years "	"60-64"	1436	Not Applicable	Not Applicable
	"Alabama"	"01"	"65-69 years"	"65-69"	1812	Not Applicable	Not Applicable
	"Alabama"	"01"	"70-74 years"	"70-74"	2018	Not Applicable	Not Applicable
	"Alabama"	"01"	"75-79 years"	"75-79"	2185	Not Applicable	Not Applicable
	"Alabama"	"01"	"80-84 years"	"80-84"	2375	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	2410	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	1973	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	803	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	159	Not Applicable	Not Applicable
	"Alaska"	"02"	"35-39 years"	"35-39"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"40-44 years"	"40-44"	19	Not Applicable	Not Applicable
	"Alaska"	"02"	"45-49 years"	"45-49"	24	Not Applicable	Not Applicable
	"Alaska"	"02"	"50-54 years"	"50-54"	52	Not Applicable	Not Applicable
	"Alaska"	"02"	"55-59 years"	"55-59"	88	Not Applicable	Not Applicable
	"Alaska"	"02"	"60-64 years "	"60-64"	131	Not Applicable	Not Applicable
	"Alaska"	"02"	"65-69 years"	"65-69"	133	Not Applicable	Not Applicable
	"Alaska"	"02"	"70-74 years"	"70-74"	136	Not Applicable	Not Applicable
	"Alaska"	"02"	"75-79 years"	"75-79"	135	Not Applicable	Not Applicable
	"Alaska"	"02"	"80-84 years"	"80-84"	135	Not Applicable	Not Applicable
	"Alaska"	"02"	"85-89 years"	"85-89"	134	Not Applicable	Not Applicable
	"Alaska"	"02"	"90-94 years"	"90-94"	98	Not Applicable	Not Applicable
	"Alaska"	"02"	"95-99 years"	"95-99"	43	Not Applicable	Not Applicable
	"Arizona"	"04"	"25-29 years"	"25-29"	42	Not Applicable	Not Applicable
	"Arizona"	"04"	"30-34 years"	"30-34"	51	Not Applicable	Not Applicable
	"Arizona"	"04"	"35-39 years"	"35-39"	96	Not Applicable	Not Applicable
	"Arizona"	"04"	"40-44 years"	"40-44"	155	Not Applicable	Not Applicable
	"Arizona"	"04"	"45-49 years"	"45-49"	264	Not Applicable	Not Applicable
	"Arizona"	"04"	"50-54 years"	"50-54"	427	Not Applicable	Not Applicable
	"Arizona"	"04"	"55-59 years"	"55-59"	737	Not Applicable	Not Applicable
	"Arizona"	"04"	"60-64 years "	"60-64"	1103	Not Applicable	Not Applicable
	"Arizona"	"04"	"65-69 years"	"65-69"	1433	Not Applicable	Not Applicable
	"Arizona"	"04"	"70-74 years"	"70-74"	1837	Not Applicable	Not Applicable
	"Arizona"	"04"	"75-79 years"	"75-79"	2146	Not Applicable	Not Applicable
	"Arizona"	"04"	"80-84 years"	"80-84"	2528	Not Applicable	Not Applicable
	"Arizona"	"04"	"85-89 years"	"85-89"	2722	Not Applicable	Not Applicable
	"Arizona"	"04"	"90-94 years"	"90-94"	2381	Not Applicable	Not Applicable
	"Arizona"	"04"	"95-99 years"	"95-99"	1163	Not Applicable	Not Applicable
	"Arizona"	"04"	"100+ years"	"100+"	209	Not Applicable	Not Applicable
	"Arkansas"	"05"	"25-29 years"	"25-29"	15	Not Applicable	Not Applicable
	"Arkansas"	"05"	"30-34 years"	"30-34"	34	Not Applicable	Not Applicable
	"Arkansas"	"05"	"35-39 years"	"35-39"	86	Not Applicable	Not Applicable
	"Arkansas"	"05"	"40-44 years"	"40-44"	156	Not Applicable	Not Applicable
	"Arkansas"	"05"	"45-49 years"	"45-49"	234	Not Applicable	Not Applicable
	"Arkansas"	"05"	"50-54 years"	"50-54"	383	Not Applicable	Not Applicable
	"Arkansas"	"05"	"55-59 years"	"55-59"	622	Not Applicable	Not Applicable
	"Arkansas"	"05"	"60-64 years "	"60-64"	867	Not Applicable	Not Applicable
	"Arkansas"	"05"	"65-69 years"	"65-69"	1017	Not Applicable	Not Applicable
	"Arkansas"	"05"	"70-74 years"	"70-74"	1229	Not Applicable	Not Applicable
	"Arkansas"	"05"	"75-79 years"	"75-79"	1256	Not Applicable	Not Applicable
	"Arkansas"	"05"	"80-84 years"	"80-84"	1425	Not Applicable	Not Applicable
	"Arkansas"	"05"	"85-89 years"	"85-89"	1505	Not Applicable	Not Applicable
	"Arkansas"	"05"	"90-94 years"	"90-94"	1227	Not Applicable	Not Applicable
	"Arkansas"	"05"	"95-99 years"	"95-99"	553	Not Applicable	Not Applicable
	"Arkansas"	"05"	"100+ years"	"100+"	120	Not Applicable	Not Applicable
	"California"	"06"	"25-29 years"	"25-29"	176	Not Applicable	Not Applicable
	"California"	"06"	"30-34 years"	"30-34"	285	Not Applicable	Not Applicable
	"California"	"06"	"35-39 years"	"35-39"	475	Not Applicable	Not Applicable
	"California"	"06"	"40-44 years"	"40-44"	797	Not Applicable	Not Applicable
	"California"	"06"	"45-49 years"	"45-49"	1287	Not Applicable	Not Applicable
	"California"	"06"	"50-54 years"	"50-54"	2345	Not Applicable	Not Applicable
	"California"	"06"	"55-59 years"	"55-59"	3863	Not Applicable	Not Applicable
	"California"	"06"	"60-64 years "	"60-64"	5748	Not Applicable	Not Applicable
	"California"	"06"	"65-69 years"	"65-69"	6672	Not Applicable	Not Applicable
	"California"	"06"	"70-74 years"	"70-74"	8149	Not Applicable	Not Applicable
	"California"	"06"	"75-79 years"	"75-79"	9247	Not Applicable	Not Applicable
	"California"	"06"	"80-84 years"	"80-84"	11374	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	13902	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	13835	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	7692	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	1759	Not Applicable	Not Applicable
	"Colorado"	"08"	"25-29 years"	"25-29"	19	Not Applicable	Not Applicable
	"Colorado"	"08"	"30-34 years"	"30-34"	35	Not Applicable	Not Applicable
	"Colorado"	"08"	"35-39 years"	"35-39"	63	Not Applicable	Not Applicable
	"Colorado"	"08"	"40-44 years"	"40-44"	105	Not Applicable	Not Applicable
	"Colorado"	"08"	"45-49 years"	"45-49"	176	Not Applicable	Not Applicable
	"Colorado"	"08"	"50-54 years"	"50-54"	250	Not Applicable	Not Applicable
	"Colorado"	"08"	"55-59 years"	"55-59"	493	Not Applicable	Not Applicable
	"Colorado"	"08"	"60-64 years "	"60-64"	693	Not Applicable	Not Applicable
	"Colorado"	"08"	"65-69 years"	"65-69"	851	Not Applicable	Not Applicable
	"Colorado"	"08"	"70-74 years"	"70-74"	983	Not Applicable	Not Applicable
	"Colorado"	"08"	"75-79 years"	"75-79"	1100	Not Applicable	Not Applicable
	"Colorado"	"08"	"80-84 years"	"80-84"	1438	Not Applicable	Not Applicable
