"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-29 years"	"25-29"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	41	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	65	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	116	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	180	Not Applicable	Not Applicable
	"Alabama"	"01"	"50-54 years"	"50-54"	356	Not Applicable	Not Applicable
	"Alabama"	"01"	"55-59 years"	"55-59"	524	Not Applicable	Not Applicable
	"Alabama"	"01"	"60-64 years "	"60-64"	852	Not Applicable	Not Applicable
	"Alabama"	"01"	"65-69 years"	"65-69"	1131	Not Applicable	Not Applicable
	"Alabama"	"01"	"70-74 years"	"70-74"	1473	Not Applicable	Not Applicable
	"Alabama"	"01"	"75-79 years"	"75-79"	1463	Not Applicable	Not Applicable
	"Alabama"	"01"	"80-84 years"	"80-84"	1430	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	1200	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	686	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	275	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	55	Not Applicable	Not Applicable
	"Alaska"	"02"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"35-39 years"	"35-39"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"40-44 years"	"40-44"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"45-49 years"	"45-49"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"50-54 years"	"50-54"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"55-59 years"	"55-59"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"60-64 years "	"60-64"	21	Not Applicable	Not Applicable
	"Alaska"	"02"	"65-69 years"	"65-69"	34	Not Applicable	Not Applicable
	"Alaska"	"02"	"70-74 years"	"70-74"	43	Not Applicable	Not Applicable
	"Alaska"	"02"	"75-79 years"	"75-79"	48	Not Applicable	Not Applicable
	"Alaska"	"02"	"80-84 years"	"80-84"	32	Not Applicable	Not Applicable
	"Alaska"	"02"	"85-89 years"	"85-89"	35	Not Applicable	Not Applicable
	"Alaska"	"02"	"90-94 years"	"90-94"	22	Not Applicable	Not Applicable
	"Alaska"	"02"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
