"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"50-54 years"	"50-54"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"55-59 years"	"55-59"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"60-64 years "	"60-64"	59	Not Applicable	Not Applicable
	"Alabama"	"01"	"65-69 years"	"65-69"	143	Not Applicable	Not Applicable
	"Alabama"	"01"	"70-74 years"	"70-74"	334	Not Applicable	Not Applicable
	"Alabama"	"01"	"75-79 years"	"75-79"	617	Not Applicable	Not Applicable
	"Alabama"	"01"	"80-84 years"	"80-84"	1010	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	1204	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	1028	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	480	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	105	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"			5008	Not Applicable	Not Applicable
	"Alaska"	"02"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"35-39 years"	"35-39"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"40-44 years"	"40-44"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"45-49 years"	"45-49"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"50-54 years"	"50-54"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"55-59 years"	"55-59"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"60-64 years "	"60-64"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"65-69 years"	"65-69"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"70-74 years"	"70-74"	26	Not Applicable	Not Applicable
	"Alaska"	"02"	"75-79 years"	"75-79"	28	Not Applicable	Not Applicable
	"Alaska"	"02"	"80-84 years"	"80-84"	64	Not Applicable	Not Applicable
	"Alaska"	"02"	"85-89 years"	"85-89"	86	Not Applicable	Not Applicable
	"Alaska"	"02"	"90-94 years"	"90-94"	74	Not Applicable	Not Applicable
	"Alaska"	"02"	"95-99 years"	"95-99"	33	Not Applicable	Not Applicable
	"Alaska"	"02"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alaska"	"02"			336	Not Applicable	Not Applicable
	"Arizona"	"04"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"35-39 years"	"35-39"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"40-44 years"	"40-44"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"45-49 years"	"45-49"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"50-54 years"	"50-54"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"55-59 years"	"55-59"	22	Not Applicable	Not Applicable
	"Arizona"	"04"	"60-64 years "	"60-64"	47	Not Applicable	Not Applicable
	"Arizona"	"04"	"65-69 years"	"65-69"	126	Not Applicable	Not Applicable
	"Arizona"	"04"	"70-74 years"	"70-74"	307	Not Applicable	Not Applicable
	"Arizona"	"04"	"75-79 years"	"75-79"	623	Not Applicable	Not Applicable
	"Arizona"	"04"	"80-84 years"	"80-84"	969	Not Applicable	Not Applicable
	"Arizona"	"04"	"85-89 years"	"85-89"	1379	Not Applicable	Not Applicable
	"Arizona"	"04"	"90-94 years"	"90-94"	1328	Not Applicable	Not Applicable
	"Arizona"	"04"	"95-99 years"	"95-99"	696	Not Applicable	Not Applicable
	"Arizona"	"04"	"100+ years"	"100+"	111	Not Applicable	Not Applicable
"Total"	"Arizona"	"04"			5618	Not Applicable	Not Applicable
	"Arkansas"	"05"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"35-39 years"	"35-39"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"40-44 years"	"40-44"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"45-49 years"	"45-49"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"50-54 years"	"50-54"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"55-59 years"	"55-59"	12	Not Applicable	Not Applicable
	"Arkansas"	"05"	"60-64 years "	"60-64"	30	Not Applicable	Not Applicable
	"Arkansas"	"05"	"65-69 years"	"65-69"	80	Not Applicable	Not Applicable
	"Arkansas"	"05"	"70-74 years"	"70-74"	183	Not Applicable	Not Applicable
	"Arkansas"	"05"	"75-79 years"	"75-79"	355	Not Applicable	Not Applicable
	"Arkansas"	"05"	"80-84 years"	"80-84"	629	Not Applicable	Not Applicable
	"Arkansas"	"05"	"85-89 years"	"85-89"	760	Not Applicable	Not Applicable
	"Arkansas"	"05"	"90-94 years"	"90-94"	703	Not Applicable	Not Applicable
	"Arkansas"	"05"	"95-99 years"	"95-99"	339	Not Applicable	Not Applicable
	"Arkansas"	"05"	"100+ years"	"100+"	72	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"			3165	Not Applicable	Not Applicable
	"California"	"06"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
