"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-29 years"	"25-29"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	32	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	58	Not Applicable	Not Applicable
	"Alabama"	"01"	"50-54 years"	"50-54"	89	Not Applicable	Not Applicable
	"Alabama"	"01"	"55-59 years"	"55-59"	119	Not Applicable	Not Applicable
	"Alabama"	"01"	"60-64 years "	"60-64"	167	Not Applicable	Not Applicable
	"Alabama"	"01"	"65-69 years"	"65-69"	192	Not Applicable	Not Applicable
	"Alabama"	"01"	"70-74 years"	"70-74"	222	Not Applicable	Not Applicable
	"Alabama"	"01"	"75-79 years"	"75-79"	191	Not Applicable	Not Applicable
	"Alabama"	"01"	"80-84 years"	"80-84"	180	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	112	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	56	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"35-39 years"	"35-39"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"40-44 years"	"40-44"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"45-49 years"	"45-49"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"50-54 years"	"50-54"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"55-59 years"	"55-59"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"60-64 years "	"60-64"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"65-69 years"	"65-69"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"70-74 years"	"70-74"	27	Not Applicable	Not Applicable
	"Alaska"	"02"	"75-79 years"	"75-79"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"80-84 years"	"80-84"	21	Not Applicable	Not Applicable
	"Alaska"	"02"	"85-89 years"	"85-89"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"30-34 years"	"30-34"	19	Not Applicable	Not Applicable
	"Arizona"	"04"	"35-39 years"	"35-39"	23	Not Applicable	Not Applicable
	"Arizona"	"04"	"40-44 years"	"40-44"	52	Not Applicable	Not Applicable
	"Arizona"	"04"	"45-49 years"	"45-49"	78	Not Applicable	Not Applicable
	"Arizona"	"04"	"50-54 years"	"50-54"	145	Not Applicable	Not Applicable
	"Arizona"	"04"	"55-59 years"	"55-59"	206	Not Applicable	Not Applicable
	"Arizona"	"04"	"60-64 years "	"60-64"	337	Not Applicable	Not Applicable
	"Arizona"	"04"	"65-69 years"	"65-69"	343	Not Applicable	Not Applicable
	"Arizona"	"04"	"70-74 years"	"70-74"	392	Not Applicable	Not Applicable
	"Arizona"	"04"	"75-79 years"	"75-79"	346	Not Applicable	Not Applicable
	"Arizona"	"04"	"80-84 years"	"80-84"	298	Not Applicable	Not Applicable
	"Arizona"	"04"	"85-89 years"	"85-89"	201	Not Applicable	Not Applicable
	"Arizona"	"04"	"90-94 years"	"90-94"	109	Not Applicable	Not Applicable
	"Arizona"	"04"	"95-99 years"	"95-99"	37	Not Applicable	Not Applicable
	"Arizona"	"04"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"30-34 years"	"30-34"	12	Not Applicable	Not Applicable
	"Arkansas"	"05"	"35-39 years"	"35-39"	24	Not Applicable	Not Applicable
	"Arkansas"	"05"	"40-44 years"	"40-44"	35	Not Applicable	Not Applicable
	"Arkansas"	"05"	"45-49 years"	"45-49"	44	Not Applicable	Not Applicable
	"Arkansas"	"05"	"50-54 years"	"50-54"	71	Not Applicable	Not Applicable
	"Arkansas"	"05"	"55-59 years"	"55-59"	125	Not Applicable	Not Applicable
	"Arkansas"	"05"	"60-64 years "	"60-64"	153	Not Applicable	Not Applicable
	"Arkansas"	"05"	"65-69 years"	"65-69"	173	Not Applicable	Not Applicable
	"Arkansas"	"05"	"70-74 years"	"70-74"	239	Not Applicable	Not Applicable
	"Arkansas"	"05"	"75-79 years"	"75-79"	153	Not Applicable	Not Applicable
	"Arkansas"	"05"	"80-84 years"	"80-84"	141	Not Applicable	Not Applicable
	"Arkansas"	"05"	"85-89 years"	"85-89"	104	Not Applicable	Not Applicable
	"Arkansas"	"05"	"90-94 years"	"90-94"	55	Not Applicable	Not Applicable
	"Arkansas"	"05"	"95-99 years"	"95-99"	21	Not Applicable	Not Applicable
	"Arkansas"	"05"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"25-29 years"	"25-29"	43	Not Applicable	Not Applicable
	"California"	"06"	"30-34 years"	"30-34"	84	Not Applicable	Not Applicable
	"California"	"06"	"35-39 years"	"35-39"	123	Not Applicable	Not Applicable
	"California"	"06"	"40-44 years"	"40-44"	169	Not Applicable	Not Applicable
	"California"	"06"	"45-49 years"	"45-49"	304	Not Applicable	Not Applicable
	"California"	"06"	"50-54 years"	"50-54"	573	Not Applicable	Not Applicable
	"California"	"06"	"55-59 years"	"55-59"	863	Not Applicable	Not Applicable
	"California"	"06"	"60-64 years "	"60-64"	1190	Not Applicable	Not Applicable
	"California"	"06"	"65-69 years"	"65-69"	1395	Not Applicable	Not Applicable
	"California"	"06"	"70-74 years"	"70-74"	1682	Not Applicable	Not Applicable
	"California"	"06"	"75-79 years"	"75-79"	1561	Not Applicable	Not Applicable
	"California"	"06"	"80-84 years"	"80-84"	1506	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	1302	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	875	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	363	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	42	Not Applicable	Not Applicable
	"Colorado"	"08"	"25-29 years"	"25-29"	11	Not Applicable	Not Applicable
	"Colorado"	"08"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Colorado"	"08"	"35-39 years"	"35-39"	17	Not Applicable	Not Applicable
	"Colorado"	"08"	"40-44 years"	"40-44"	24	Not Applicable	Not Applicable
	"Colorado"	"08"	"45-49 years"	"45-49"	30	Not Applicable	Not Applicable
	"Colorado"	"08"	"50-54 years"	"50-54"	49	Not Applicable	Not Applicable
	"Colorado"	"08"	"55-59 years"	"55-59"	102	Not Applicable	Not Applicable
	"Colorado"	"08"	"60-64 years "	"60-64"	111	Not Applicable	Not Applicable
	"Colorado"	"08"	"65-69 years"	"65-69"	149	Not Applicable	Not Applicable
	"Colorado"	"08"	"70-74 years"	"70-74"	177	Not Applicable	Not Applicable
	"Colorado"	"08"	"75-79 years"	"75-79"	178	Not Applicable	Not Applicable
	"Colorado"	"08"	"80-84 years"	"80-84"	121	Not Applicable	Not Applicable
	"Colorado"	"08"	"85-89 years"	"85-89"	108	Not Applicable	Not Applicable
	"Colorado"	"08"	"90-94 years"	"90-94"	63	Not Applicable	Not Applicable
	"Colorado"	"08"	"95-99 years"	"95-99"	31	Not Applicable	Not Applicable
	"Colorado"	"08"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"35-39 years"	"35-39"	16	Not Applicable	Not Applicable
	"Connecticut"	"09"	"40-44 years"	"40-44"	14	Not Applicable	Not Applicable
	"Connecticut"	"09"	"45-49 years"	"45-49"	17	Not Applicable	Not Applicable
	"Connecticut"	"09"	"50-54 years"	"50-54"	36	Not Applicable	Not Applicable
	"Connecticut"	"09"	"55-59 years"	"55-59"	58	Not Applicable	Not Applicable
	"Connecticut"	"09"	"60-64 years "	"60-64"	91	Not Applicable	Not Applicable
	"Connecticut"	"09"	"65-69 years"	"65-69"	87	Not Applicable	Not Applicable
	"Connecticut"	"09"	"70-74 years"	"70-74"	101	Not Applicable	Not Applicable
	"Connecticut"	"09"	"75-79 years"	"75-79"	106	Not Applicable	Not Applicable
	"Connecticut"	"09"	"80-84 years"	"80-84"	115	Not Applicable	Not Applicable
	"Connecticut"	"09"	"85-89 years"	"85-89"	102	Not Applicable	Not Applicable
	"Connecticut"	"09"	"90-94 years"	"90-94"	79	Not Applicable	Not Applicable
	"Connecticut"	"09"	"95-99 years"	"95-99"	36	Not Applicable	Not Applicable
	"Connecticut"	"09"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"35-39 years"	"35-39"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"40-44 years"	"40-44"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"45-49 years"	"45-49"	13	Not Applicable	Not Applicable
	"Delaware"	"10"	"50-54 years"	"50-54"	18	Not Applicable	Not Applicable
	"Delaware"	"10"	"55-59 years"	"55-59"	24	Not Applicable	Not Applicable
	"Delaware"	"10"	"60-64 years "	"60-64"	30	Not Applicable	Not Applicable
	"Delaware"	"10"	"65-69 years"	"65-69"	44	Not Applicable	Not Applicable
	"Delaware"	"10"	"70-74 years"	"70-74"	56	Not Applicable	Not Applicable
	"Delaware"	"10"	"75-79 years"	"75-79"	43	Not Applicable	Not Applicable
	"Delaware"	"10"	"80-84 years"	"80-84"	33	Not Applicable	Not Applicable
	"Delaware"	"10"	"85-89 years"	"85-89"	34	Not Applicable	Not Applicable
	"Delaware"	"10"	"90-94 years"	"90-94"	17	Not Applicable	Not Applicable
	"Delaware"	"10"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"35-39 years"	"35-39"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"40-44 years"	"40-44"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"45-49 years"	"45-49"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"50-54 years"	"50-54"	11	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"55-59 years"	"55-59"	16	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"60-64 years "	"60-64"	19	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"65-69 years"	"65-69"	29	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"70-74 years"	"70-74"	14	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"75-79 years"	"75-79"	18	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"80-84 years"	"80-84"	16	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"85-89 years"	"85-89"	16	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"90-94 years"	"90-94"	11	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"25-29 years"	"25-29"	38	Not Applicable	Not Applicable
	"Florida"	"12"	"30-34 years"	"30-34"	45	Not Applicable	Not Applicable
	"Florida"	"12"	"35-39 years"	"35-39"	65	Not Applicable	Not Applicable
	"Florida"	"12"	"40-44 years"	"40-44"	120	Not Applicable	Not Applicable
	"Florida"	"12"	"45-49 years"	"45-49"	185	Not Applicable	Not Applicable
	"Florida"	"12"	"50-54 years"	"50-54"	298	Not Applicable	Not Applicable
	"Florida"	"12"	"55-59 years"	"55-59"	547	Not Applicable	Not Applicable
	"Florida"	"12"	"60-64 years "	"60-64"	795	Not Applicable	Not Applicable
	"Florida"	"12"	"65-69 years"	"65-69"	985	Not Applicable	Not Applicable
	"Florida"	"12"	"70-74 years"	"70-74"	1182	Not Applicable	Not Applicable
	"Florida"	"12"	"75-79 years"	"75-79"	1053	Not Applicable	Not Applicable
	"Florida"	"12"	"80-84 years"	"80-84"	1057	Not Applicable	Not Applicable
	"Florida"	"12"	"85-89 years"	"85-89"	766	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	459	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	172	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	25	Not Applicable	Not Applicable
	"Georgia"	"13"	"25-29 years"	"25-29"	20	Not Applicable	Not Applicable
	"Georgia"	"13"	"30-34 years"	"30-34"	23	Not Applicable	Not Applicable
	"Georgia"	"13"	"35-39 years"	"35-39"	42	Not Applicable	Not Applicable
	"Georgia"	"13"	"40-44 years"	"40-44"	73	Not Applicable	Not Applicable
	"Georgia"	"13"	"45-49 years"	"45-49"	118	Not Applicable	Not Applicable
	"Georgia"	"13"	"50-54 years"	"50-54"	166	Not Applicable	Not Applicable
	"Georgia"	"13"	"55-59 years"	"55-59"	234	Not Applicable	Not Applicable
	"Georgia"	"13"	"60-64 years "	"60-64"	344	Not Applicable	Not Applicable
	"Georgia"	"13"	"65-69 years"	"65-69"	386	Not Applicable	Not Applicable
	"Georgia"	"13"	"70-74 years"	"70-74"	400	Not Applicable	Not Applicable
	"Georgia"	"13"	"75-79 years"	"75-79"	352	Not Applicable	Not Applicable
	"Georgia"	"13"	"80-84 years"	"80-84"	317	Not Applicable	Not Applicable
	"Georgia"	"13"	"85-89 years"	"85-89"	241	Not Applicable	Not Applicable
	"Georgia"	"13"	"90-94 years"	"90-94"	122	Not Applicable	Not Applicable
	"Georgia"	"13"	"95-99 years"	"95-99"	49	Not Applicable	Not Applicable
	"Georgia"	"13"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"35-39 years"	"35-39"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"40-44 years"	"40-44"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"45-49 years"	"45-49"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"50-54 years"	"50-54"	28	Not Applicable	Not Applicable
	"Hawaii"	"15"	"55-59 years"	"55-59"	32	Not Applicable	Not Applicable
	"Hawaii"	"15"	"60-64 years "	"60-64"	23	Not Applicable	Not Applicable
	"Hawaii"	"15"	"65-69 years"	"65-69"	36	Not Applicable	Not Applicable
	"Hawaii"	"15"	"70-74 years"	"70-74"	49	Not Applicable	Not Applicable
