"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-29 years"	"25-29"	112	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	143	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	169	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	164	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	124	Not Applicable	Not Applicable
	"Alabama"	"01"	"50-54 years"	"50-54"	85	Not Applicable	Not Applicable
	"Alabama"	"01"	"55-59 years"	"55-59"	86	Not Applicable	Not Applicable
	"Alabama"	"01"	"60-64 years "	"60-64"	65	Not Applicable	Not Applicable
	"Alabama"	"01"	"65-69 years"	"65-69"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"70-74 years"	"70-74"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"75-79 years"	"75-79"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"80-84 years"	"80-84"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"			979	Not Applicable	Not Applicable
	"Alaska"	"02"	"25-29 years"	"25-29"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"30-34 years"	"30-34"	26	Not Applicable	Not Applicable
	"Alaska"	"02"	"35-39 years"	"35-39"	27	Not Applicable	Not Applicable
	"Alaska"	"02"	"40-44 years"	"40-44"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"45-49 years"	"45-49"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"50-54 years"	"50-54"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"55-59 years"	"55-59"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"60-64 years "	"60-64"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"65-69 years"	"65-69"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"70-74 years"	"70-74"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"75-79 years"	"75-79"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"80-84 years"	"80-84"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alaska"	"02"			134	Not Applicable	Not Applicable
	"Arizona"	"04"	"25-29 years"	"25-29"	338	Not Applicable	Not Applicable
	"Arizona"	"04"	"30-34 years"	"30-34"	338	Not Applicable	Not Applicable
	"Arizona"	"04"	"35-39 years"	"35-39"	312	Not Applicable	Not Applicable
	"Arizona"	"04"	"40-44 years"	"40-44"	227	Not Applicable	Not Applicable
	"Arizona"	"04"	"45-49 years"	"45-49"	209	Not Applicable	Not Applicable
	"Arizona"	"04"	"50-54 years"	"50-54"	242	Not Applicable	Not Applicable
	"Arizona"	"04"	"55-59 years"	"55-59"	211	Not Applicable	Not Applicable
	"Arizona"	"04"	"60-64 years "	"60-64"	153	Not Applicable	Not Applicable
	"Arizona"	"04"	"65-69 years"	"65-69"	72	Not Applicable	Not Applicable
	"Arizona"	"04"	"70-74 years"	"70-74"	18	Not Applicable	Not Applicable
	"Arizona"	"04"	"75-79 years"	"75-79"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"80-84 years"	"80-84"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
"Total"	"Arizona"	"04"			2131	Not Applicable	Not Applicable
	"Arkansas"	"05"	"25-29 years"	"25-29"	56	Not Applicable	Not Applicable
	"Arkansas"	"05"	"30-34 years"	"30-34"	70	Not Applicable	Not Applicable
	"Arkansas"	"05"	"35-39 years"	"35-39"	85	Not Applicable	Not Applicable
	"Arkansas"	"05"	"40-44 years"	"40-44"	68	Not Applicable	Not Applicable
	"Arkansas"	"05"	"45-49 years"	"45-49"	45	Not Applicable	Not Applicable
	"Arkansas"	"05"	"50-54 years"	"50-54"	44	Not Applicable	Not Applicable
	"Arkansas"	"05"	"55-59 years"	"55-59"	50	Not Applicable	Not Applicable
	"Arkansas"	"05"	"60-64 years "	"60-64"	23	Not Applicable	Not Applicable
	"Arkansas"	"05"	"65-69 years"	"65-69"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"70-74 years"	"70-74"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"75-79 years"	"75-79"	Suppressed	Not Applicable	Not Applicable
