"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-29 years"	"25-29"	333	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	375	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	365	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	332	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	308	Not Applicable	Not Applicable
	"Alabama"	"01"	"50-54 years"	"50-54"	305	Not Applicable	Not Applicable
	"Alabama"	"01"	"55-59 years"	"55-59"	286	Not Applicable	Not Applicable
	"Alabama"	"01"	"60-64 years "	"60-64"	277	Not Applicable	Not Applicable
	"Alabama"	"01"	"65-69 years"	"65-69"	237	Not Applicable	Not Applicable
	"Alabama"	"01"	"70-74 years"	"70-74"	219	Not Applicable	Not Applicable
	"Alabama"	"01"	"75-79 years"	"75-79"	182	Not Applicable	Not Applicable
	"Alabama"	"01"	"80-84 years"	"80-84"	159	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	141	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	82	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"25-29 years"	"25-29"	78	Not Applicable	Not Applicable
	"Alaska"	"02"	"30-34 years"	"30-34"	83	Not Applicable	Not Applicable
	"Alaska"	"02"	"35-39 years"	"35-39"	61	Not Applicable	Not Applicable
	"Alaska"	"02"	"40-44 years"	"40-44"	52	Not Applicable	Not Applicable
	"Alaska"	"02"	"45-49 years"	"45-49"	51	Not Applicable	Not Applicable
	"Alaska"	"02"	"50-54 years"	"50-54"	41	Not Applicable	Not Applicable
	"Alaska"	"02"	"55-59 years"	"55-59"	50	Not Applicable	Not Applicable
	"Alaska"	"02"	"60-64 years "	"60-64"	53	Not Applicable	Not Applicable
	"Alaska"	"02"	"65-69 years"	"65-69"	29	Not Applicable	Not Applicable
	"Alaska"	"02"	"70-74 years"	"70-74"	34	Not Applicable	Not Applicable
	"Alaska"	"02"	"75-79 years"	"75-79"	32	Not Applicable	Not Applicable
	"Alaska"	"02"	"80-84 years"	"80-84"	23	Not Applicable	Not Applicable
	"Alaska"	"02"	"85-89 years"	"85-89"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"90-94 years"	"90-94"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"25-29 years"	"25-29"	550	Not Applicable	Not Applicable
	"Arizona"	"04"	"30-34 years"	"30-34"	496	Not Applicable	Not Applicable
	"Arizona"	"04"	"35-39 years"	"35-39"	513	Not Applicable	Not Applicable
	"Arizona"	"04"	"40-44 years"	"40-44"	411	Not Applicable	Not Applicable
