"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-29 years"	"25-29"	113	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	85	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	58	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	41	Not Applicable	Not Applicable
	"Alabama"	"01"	"50-54 years"	"50-54"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"55-59 years"	"55-59"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"60-64 years "	"60-64"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"65-69 years"	"65-69"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"70-74 years"	"70-74"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"75-79 years"	"75-79"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"80-84 years"	"80-84"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"			485	Not Applicable	Not Applicable
	"Alaska"	"02"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"30-34 years"	"30-34"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"35-39 years"	"35-39"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"40-44 years"	"40-44"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"45-49 years"	"45-49"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"50-54 years"	"50-54"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"55-59 years"	"55-59"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"60-64 years "	"60-64"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"65-69 years"	"65-69"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"70-74 years"	"70-74"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"75-79 years"	"75-79"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"80-84 years"	"80-84"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alaska"	"02"			47	Not Applicable	Not Applicable
	"Arizona"	"04"	"25-29 years"	"25-29"	65	Not Applicable	Not Applicable
	"Arizona"	"04"	"30-34 years"	"30-34"	78	Not Applicable	Not Applicable
	"Arizona"	"04"	"35-39 years"	"35-39"	68	Not Applicable	Not Applicable
	"Arizona"	"04"	"40-44 years"	"40-44"	33	Not Applicable	Not Applicable
	"Arizona"	"04"	"45-49 years"	"45-49"	43	Not Applicable	Not Applicable
	"Arizona"	"04"	"50-54 years"	"50-54"	36	Not Applicable	Not Applicable
	"Arizona"	"04"	"55-59 years"	"55-59"	20	Not Applicable	Not Applicable
	"Arizona"	"04"	"60-64 years "	"60-64"	16	Not Applicable	Not Applicable
	"Arizona"	"04"	"65-69 years"	"65-69"	15	Not Applicable	Not Applicable
	"Arizona"	"04"	"70-74 years"	"70-74"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"75-79 years"	"75-79"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"80-84 years"	"80-84"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
"Total"	"Arizona"	"04"			391	Not Applicable	Not Applicable
	"Arkansas"	"05"	"25-29 years"	"25-29"	40	Not Applicable	Not Applicable
	"Arkansas"	"05"	"30-34 years"	"30-34"	40	Not Applicable	Not Applicable
	"Arkansas"	"05"	"35-39 years"	"35-39"	43	Not Applicable	Not Applicable
	"Arkansas"	"05"	"40-44 years"	"40-44"	34	Not Applicable	Not Applicable
	"Arkansas"	"05"	"45-49 years"	"45-49"	21	Not Applicable	Not Applicable
	"Arkansas"	"05"	"50-54 years"	"50-54"	19	Not Applicable	Not Applicable
	"Arkansas"	"05"	"55-59 years"	"55-59"	20	Not Applicable	Not Applicable
	"Arkansas"	"05"	"60-64 years "	"60-64"	22	Not Applicable	Not Applicable
	"Arkansas"	"05"	"65-69 years"	"65-69"	10	Not Applicable	Not Applicable
	"Arkansas"	"05"	"70-74 years"	"70-74"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"75-79 years"	"75-79"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"80-84 years"	"80-84"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"			258	Not Applicable	Not Applicable
	"California"	"06"	"25-29 years"	"25-29"	358	Not Applicable	Not Applicable
	"California"	"06"	"30-34 years"	"30-34"	356	Not Applicable	Not Applicable
	"California"	"06"	"35-39 years"	"35-39"	313	Not Applicable	Not Applicable
	"California"	"06"	"40-44 years"	"40-44"	227	Not Applicable	Not Applicable
	"California"	"06"	"45-49 years"	"45-49"	139	Not Applicable	Not Applicable
	"California"	"06"	"50-54 years"	"50-54"	129	Not Applicable	Not Applicable
	"California"	"06"	"55-59 years"	"55-59"	129	Not Applicable	Not Applicable
	"California"	"06"	"60-64 years "	"60-64"	73	Not Applicable	Not Applicable
	"California"	"06"	"65-69 years"	"65-69"	55	Not Applicable	Not Applicable
	"California"	"06"	"70-74 years"	"70-74"	16	Not Applicable	Not Applicable
	"California"	"06"	"75-79 years"	"75-79"	25	Not Applicable	Not Applicable
	"California"	"06"	"80-84 years"	"80-84"	16	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	10	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
"Total"	"California"	"06"			1852	Not Applicable	Not Applicable
	"Colorado"	"08"	"25-29 years"	"25-29"	42	Not Applicable	Not Applicable
	"Colorado"	"08"	"30-34 years"	"30-34"	47	Not Applicable	Not Applicable
	"Colorado"	"08"	"35-39 years"	"35-39"	38	Not Applicable	Not Applicable
	"Colorado"	"08"	"40-44 years"	"40-44"	37	Not Applicable	Not Applicable
	"Colorado"	"08"	"45-49 years"	"45-49"	27	Not Applicable	Not Applicable
	"Colorado"	"08"	"50-54 years"	"50-54"	24	Not Applicable	Not Applicable
	"Colorado"	"08"	"55-59 years"	"55-59"	15	Not Applicable	Not Applicable
	"Colorado"	"08"	"60-64 years "	"60-64"	Suppressed	Not Applicable	Not Applicable
	"Colorado"	"08"	"65-69 years"	"65-69"	Suppressed	Not Applicable	Not Applicable
	"Colorado"	"08"	"70-74 years"	"70-74"	Suppressed	Not Applicable	Not Applicable
	"Colorado"	"08"	"75-79 years"	"75-79"	Suppressed	Not Applicable	Not Applicable
	"Colorado"	"08"	"80-84 years"	"80-84"	Suppressed	Not Applicable	Not Applicable
	"Colorado"	"08"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Colorado"	"08"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Colorado"	"08"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Colorado"	"08"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
"Total"	"Colorado"	"08"			257	Not Applicable	Not Applicable
	"Connecticut"	"09"	"25-29 years"	"25-29"	26	Not Applicable	Not Applicable
	"Connecticut"	"09"	"30-34 years"	"30-34"	14	Not Applicable	Not Applicable
	"Connecticut"	"09"	"35-39 years"	"35-39"	17	Not Applicable	Not Applicable
	"Connecticut"	"09"	"40-44 years"	"40-44"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"45-49 years"	"45-49"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"50-54 years"	"50-54"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"55-59 years"	"55-59"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"60-64 years "	"60-64"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"65-69 years"	"65-69"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"70-74 years"	"70-74"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"75-79 years"	"75-79"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"80-84 years"	"80-84"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
"Total"	"Connecticut"	"09"			100	Not Applicable	Not Applicable
	"Delaware"	"10"	"25-29 years"	"25-29"	17	Not Applicable	Not Applicable
	"Delaware"	"10"	"30-34 years"	"30-34"	16	Not Applicable	Not Applicable
	"Delaware"	"10"	"35-39 years"	"35-39"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"40-44 years"	"40-44"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"45-49 years"	"45-49"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"50-54 years"	"50-54"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"55-59 years"	"55-59"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"60-64 years "	"60-64"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"65-69 years"	"65-69"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"70-74 years"	"70-74"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"75-79 years"	"75-79"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"80-84 years"	"80-84"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
"Total"	"Delaware"	"10"			52	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"25-29 years"	"25-29"	38	Not Applicable	Not Applicable
