"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"50-54 years"	"50-54"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"55-59 years"	"55-59"	64	Not Applicable	Not Applicable
	"Alabama"	"01"	"60-64 years "	"60-64"	82	Not Applicable	Not Applicable
	"Alabama"	"01"	"65-69 years"	"65-69"	115	Not Applicable	Not Applicable
	"Alabama"	"01"	"70-74 years"	"70-74"	145	Not Applicable	Not Applicable
	"Alabama"	"01"	"75-79 years"	"75-79"	146	Not Applicable	Not Applicable
	"Alabama"	"01"	"80-84 years"	"80-84"	132	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	137	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	109	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"35-39 years"	"35-39"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"40-44 years"	"40-44"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"45-49 years"	"45-49"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"50-54 years"	"50-54"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"55-59 years"	"55-59"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"60-64 years "	"60-64"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"65-69 years"	"65-69"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"70-74 years"	"70-74"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"75-79 years"	"75-79"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"80-84 years"	"80-84"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"35-39 years"	"35-39"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"40-44 years"	"40-44"	15	Not Applicable	Not Applicable
	"Arizona"	"04"	"45-49 years"	"45-49"	25	Not Applicable	Not Applicable
	"Arizona"	"04"	"50-54 years"	"50-54"	41	Not Applicable	Not Applicable
	"Arizona"	"04"	"55-59 years"	"55-59"	59	Not Applicable	Not Applicable
	"Arizona"	"04"	"60-64 years "	"60-64"	86	Not Applicable	Not Applicable
	"Arizona"	"04"	"65-69 years"	"65-69"	91	Not Applicable	Not Applicable
	"Arizona"	"04"	"70-74 years"	"70-74"	135	Not Applicable	Not Applicable
	"Arizona"	"04"	"75-79 years"	"75-79"	132	Not Applicable	Not Applicable
	"Arizona"	"04"	"80-84 years"	"80-84"	140	Not Applicable	Not Applicable
	"Arizona"	"04"	"85-89 years"	"85-89"	132	Not Applicable	Not Applicable
	"Arizona"	"04"	"90-94 years"	"90-94"	96	Not Applicable	Not Applicable
	"Arizona"	"04"	"95-99 years"	"95-99"	30	Not Applicable	Not Applicable
	"Arizona"	"04"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"35-39 years"	"35-39"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"40-44 years"	"40-44"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"45-49 years"	"45-49"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"50-54 years"	"50-54"	25	Not Applicable	Not Applicable
	"Arkansas"	"05"	"55-59 years"	"55-59"	35	Not Applicable	Not Applicable
	"Arkansas"	"05"	"60-64 years "	"60-64"	54	Not Applicable	Not Applicable
	"Arkansas"	"05"	"65-69 years"	"65-69"	66	Not Applicable	Not Applicable
	"Arkansas"	"05"	"70-74 years"	"70-74"	78	Not Applicable	Not Applicable
	"Arkansas"	"05"	"75-79 years"	"75-79"	93	Not Applicable	Not Applicable
	"Arkansas"	"05"	"80-84 years"	"80-84"	97	Not Applicable	Not Applicable
	"Arkansas"	"05"	"85-89 years"	"85-89"	69	Not Applicable	Not Applicable
	"Arkansas"	"05"	"90-94 years"	"90-94"	56	Not Applicable	Not Applicable
	"Arkansas"	"05"	"95-99 years"	"95-99"	22	Not Applicable	Not Applicable
	"Arkansas"	"05"	"100+ years"	"100+"	10	Not Applicable	Not Applicable
	"California"	"06"	"25-29 years"	"25-29"	16	Not Applicable	Not Applicable
	"California"	"06"	"30-34 years"	"30-34"	26	Not Applicable	Not Applicable
	"California"	"06"	"35-39 years"	"35-39"	32	Not Applicable	Not Applicable
	"California"	"06"	"40-44 years"	"40-44"	49	Not Applicable	Not Applicable
