"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-29 years"	"25-29"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	36	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	59	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	103	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	233	Not Applicable	Not Applicable
	"Alabama"	"01"	"50-54 years"	"50-54"	416	Not Applicable	Not Applicable
	"Alabama"	"01"	"55-59 years"	"55-59"	873	Not Applicable	Not Applicable
	"Alabama"	"01"	"60-64 years "	"60-64"	1250	Not Applicable	Not Applicable
	"Alabama"	"01"	"65-69 years"	"65-69"	1538	Not Applicable	Not Applicable
	"Alabama"	"01"	"70-74 years"	"70-74"	1652	Not Applicable	Not Applicable
	"Alabama"	"01"	"75-79 years"	"75-79"	1466	Not Applicable	Not Applicable
	"Alabama"	"01"	"80-84 years"	"80-84"	1232	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	813	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	431	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	116	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"35-39 years"	"35-39"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"40-44 years"	"40-44"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"45-49 years"	"45-49"	19	Not Applicable	Not Applicable
	"Alaska"	"02"	"50-54 years"	"50-54"	37	Not Applicable	Not Applicable
	"Alaska"	"02"	"55-59 years"	"55-59"	99	Not Applicable	Not Applicable
	"Alaska"	"02"	"60-64 years "	"60-64"	121	Not Applicable	Not Applicable
	"Alaska"	"02"	"65-69 years"	"65-69"	182	Not Applicable	Not Applicable
	"Alaska"	"02"	"70-74 years"	"70-74"	134	Not Applicable	Not Applicable
	"Alaska"	"02"	"75-79 years"	"75-79"	149	Not Applicable	Not Applicable
	"Alaska"	"02"	"80-84 years"	"80-84"	107	Not Applicable	Not Applicable
	"Alaska"	"02"	"85-89 years"	"85-89"	88	Not Applicable	Not Applicable
	"Alaska"	"02"	"90-94 years"	"90-94"	33	Not Applicable	Not Applicable
	"Alaska"	"02"	"95-99 years"	"95-99"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"25-29 years"	"25-29"	30	Not Applicable	Not Applicable
	"Arizona"	"04"	"30-34 years"	"30-34"	52	Not Applicable	Not Applicable
	"Arizona"	"04"	"35-39 years"	"35-39"	72	Not Applicable	Not Applicable
	"Arizona"	"04"	"40-44 years"	"40-44"	147	Not Applicable	Not Applicable
	"Arizona"	"04"	"45-49 years"	"45-49"	236	Not Applicable	Not Applicable
	"Arizona"	"04"	"50-54 years"	"50-54"	413	Not Applicable	Not Applicable
	"Arizona"	"04"	"55-59 years"	"55-59"	851	Not Applicable	Not Applicable
	"Arizona"	"04"	"60-64 years "	"60-64"	1253	Not Applicable	Not Applicable
	"Arizona"	"04"	"65-69 years"	"65-69"	1636	Not Applicable	Not Applicable
	"Arizona"	"04"	"70-74 years"	"70-74"	2019	Not Applicable	Not Applicable
	"Arizona"	"04"	"75-79 years"	"75-79"	1975	Not Applicable	Not Applicable
	"Arizona"	"04"	"80-84 years"	"80-84"	1659	Not Applicable	Not Applicable
	"Arizona"	"04"	"85-89 years"	"85-89"	1271	Not Applicable	Not Applicable
	"Arizona"	"04"	"90-94 years"	"90-94"	627	Not Applicable	Not Applicable
	"Arizona"	"04"	"95-99 years"	"95-99"	205	Not Applicable	Not Applicable
	"Arizona"	"04"	"100+ years"	"100+"	32	Not Applicable	Not Applicable
	"Arkansas"	"05"	"25-29 years"	"25-29"	13	Not Applicable	Not Applicable
	"Arkansas"	"05"	"30-34 years"	"30-34"	13	Not Applicable	Not Applicable
	"Arkansas"	"05"	"35-39 years"	"35-39"	39	Not Applicable	Not Applicable
	"Arkansas"	"05"	"40-44 years"	"40-44"	71	Not Applicable	Not Applicable
	"Arkansas"	"05"	"45-49 years"	"45-49"	129	Not Applicable	Not Applicable
	"Arkansas"	"05"	"50-54 years"	"50-54"	247	Not Applicable	Not Applicable
	"Arkansas"	"05"	"55-59 years"	"55-59"	468	Not Applicable	Not Applicable
	"Arkansas"	"05"	"60-64 years "	"60-64"	782	Not Applicable	Not Applicable
