"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-29 years"	"25-29"	493	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	654	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	814	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	983	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	1425	Not Applicable	Not Applicable
	"Alabama"	"01"	"50-54 years"	"50-54"	2081	Not Applicable	Not Applicable
	"Alabama"	"01"	"55-59 years"	"55-59"	3425	Not Applicable	Not Applicable
	"Alabama"	"01"	"60-64 years "	"60-64"	4671	Not Applicable	Not Applicable
	"Alabama"	"01"	"65-69 years"	"65-69"	5606	Not Applicable	Not Applicable
	"Alabama"	"01"	"70-74 years"	"70-74"	6317	Not Applicable	Not Applicable
	"Alabama"	"01"	"75-79 years"	"75-79"	6603	Not Applicable	Not Applicable
	"Alabama"	"01"	"80-84 years"	"80-84"	6887	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	6265	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	4600	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	1827	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	362	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"			53013	Not Applicable	Not Applicable
	"Alaska"	"02"	"25-29 years"	"25-29"	107	Not Applicable	Not Applicable
	"Alaska"	"02"	"30-34 years"	"30-34"	112	Not Applicable	Not Applicable
	"Alaska"	"02"	"35-39 years"	"35-39"	109	Not Applicable	Not Applicable
	"Alaska"	"02"	"40-44 years"	"40-44"	119	Not Applicable	Not Applicable
	"Alaska"	"02"	"45-49 years"	"45-49"	134	Not Applicable	Not Applicable
	"Alaska"	"02"	"50-54 years"	"50-54"	195	Not Applicable	Not Applicable
