"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-29 years"	"25-29"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	43	Not Applicable	Not Applicable
	"Alabama"	"01"	"50-54 years"	"50-54"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"55-59 years"	"55-59"	76	Not Applicable	Not Applicable
	"Alabama"	"01"	"60-64 years "	"60-64"	72	Not Applicable	Not Applicable
	"Alabama"	"01"	"65-69 years"	"65-69"	112	Not Applicable	Not Applicable
	"Alabama"	"01"	"70-74 years"	"70-74"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"75-79 years"	"75-79"	114	Not Applicable	Not Applicable
	"Alabama"	"01"	"80-84 years"	"80-84"	110	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	102	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	71	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	30	Not Applicable	Not Applicable
	"Alaska"	"02"	"25-29 years"	"25-29"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"30-34 years"	"30-34"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"35-39 years"	"35-39"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"40-44 years"	"40-44"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"45-49 years"	"45-49"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"55-59 years"	"55-59"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"60-64 years "	"60-64"	21	Not Applicable	Not Applicable
	"Alaska"	"02"	"70-74 years"	"70-74"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"75-79 years"	"75-79"	21	Not Applicable	Not Applicable
	"Alaska"	"02"	"80-84 years"	"80-84"	19	Not Applicable	Not Applicable
	"Alaska"	"02"	"85-89 years"	"85-89"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"90-94 years"	"90-94"	17	Not Applicable	Not Applicable
	"Arizona"	"04"	"25-29 years"	"25-29"	39	Not Applicable	Not Applicable
	"Arizona"	"04"	"30-34 years"	"30-34"	40	Not Applicable	Not Applicable
	"Arizona"	"04"	"35-39 years"	"35-39"	53	Not Applicable	Not Applicable
	"Arizona"	"04"	"40-44 years"	"40-44"	50	Not Applicable	Not Applicable
	"Arizona"	"04"	"45-49 years"	"45-49"	53	Not Applicable	Not Applicable
	"Arizona"	"04"	"50-54 years"	"50-54"	73	Not Applicable	Not Applicable
	"Arizona"	"04"	"55-59 years"	"55-59"	105	Not Applicable	Not Applicable
	"Arizona"	"04"	"60-64 years "	"60-64"	131	Not Applicable	Not Applicable
	"Arizona"	"04"	"65-69 years"	"65-69"	131	Not Applicable	Not Applicable
	"Arizona"	"04"	"70-74 years"	"70-74"	170	Not Applicable	Not Applicable
	"Arizona"	"04"	"75-79 years"	"75-79"	204	Not Applicable	Not Applicable
	"Arizona"	"04"	"80-84 years"	"80-84"	258	Not Applicable	Not Applicable
	"Arizona"	"04"	"85-89 years"	"85-89"	273	Not Applicable	Not Applicable
	"Arizona"	"04"	"90-94 years"	"90-94"	223	Not Applicable	Not Applicable
	"Arizona"	"04"	"95-99 years"	"95-99"	90	Not Applicable	Not Applicable
	"Arizona"	"04"	"100+ years"	"100+"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"25-29 years"	"25-29"	23	Not Applicable	Not Applicable
	"Arkansas"	"05"	"30-34 years"	"30-34"	28	Not Applicable	Not Applicable
	"Arkansas"	"05"	"35-39 years"	"35-39"	24	Not Applicable	Not Applicable
	"Arkansas"	"05"	"40-44 years"	"40-44"	22	Not Applicable	Not Applicable
	"Arkansas"	"05"	"45-49 years"	"45-49"	29	Not Applicable	Not Applicable
	"Arkansas"	"05"	"50-54 years"	"50-54"	30	Not Applicable	Not Applicable
	"Arkansas"	"05"	"55-59 years"	"55-59"	41	Not Applicable	Not Applicable
	"Arkansas"	"05"	"60-64 years "	"60-64"	63	Not Applicable	Not Applicable
	"Arkansas"	"05"	"65-69 years"	"65-69"	54	Not Applicable	Not Applicable
	"Arkansas"	"05"	"70-74 years"	"70-74"	64	Not Applicable	Not Applicable
	"Arkansas"	"05"	"75-79 years"	"75-79"	75	Not Applicable	Not Applicable
	"Arkansas"	"05"	"80-84 years"	"80-84"	70	Not Applicable	Not Applicable
	"Arkansas"	"05"	"85-89 years"	"85-89"	76	Not Applicable	Not Applicable
	"Arkansas"	"05"	"90-94 years"	"90-94"	49	Not Applicable	Not Applicable
	"Arkansas"	"05"	"95-99 years"	"95-99"	17	Not Applicable	Not Applicable
	"California"	"06"	"25-29 years"	"25-29"	144	Not Applicable	Not Applicable
	"California"	"06"	"30-34 years"	"30-34"	146	Not Applicable	Not Applicable
	"California"	"06"	"35-39 years"	"35-39"	159	Not Applicable	Not Applicable
	"California"	"06"	"40-44 years"	"40-44"	181	Not Applicable	Not Applicable
	"California"	"06"	"45-49 years"	"45-49"	211	Not Applicable	Not Applicable
	"California"	"06"	"50-54 years"	"50-54"	261	Not Applicable	Not Applicable
	"California"	"06"	"55-59 years"	"55-59"	352	Not Applicable	Not Applicable
	"California"	"06"	"60-64 years "	"60-64"	348	Not Applicable	Not Applicable
	"California"	"06"	"65-69 years"	"65-69"	373	Not Applicable	Not Applicable
	"California"	"06"	"70-74 years"	"70-74"	454	Not Applicable	Not Applicable
	"California"	"06"	"75-79 years"	"75-79"	479	Not Applicable	Not Applicable
	"California"	"06"	"80-84 years"	"80-84"	601	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	637	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	593	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	259	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	49	Not Applicable	Not Applicable
	"Colorado"	"08"	"25-29 years"	"25-29"	41	Not Applicable	Not Applicable
	"Colorado"	"08"	"30-34 years"	"30-34"	32	Not Applicable	Not Applicable
	"Colorado"	"08"	"35-39 years"	"35-39"	45	Not Applicable	Not Applicable
	"Colorado"	"08"	"40-44 years"	"40-44"	27	Not Applicable	Not Applicable
	"Colorado"	"08"	"45-49 years"	"45-49"	54	Not Applicable	Not Applicable
	"Colorado"	"08"	"50-54 years"	"50-54"	62	Not Applicable	Not Applicable
	"Colorado"	"08"	"55-59 years"	"55-59"	75	Not Applicable	Not Applicable
	"Colorado"	"08"	"60-64 years "	"60-64"	81	Not Applicable	Not Applicable
	"Colorado"	"08"	"65-69 years"	"65-69"	94	Not Applicable	Not Applicable
	"Colorado"	"08"	"70-74 years"	"70-74"	109	Not Applicable	Not Applicable
	"Colorado"	"08"	"75-79 years"	"75-79"	144	Not Applicable	Not Applicable
	"Colorado"	"08"	"80-84 years"	"80-84"	199	Not Applicable	Not Applicable
	"Colorado"	"08"	"85-89 years"	"85-89"	249	Not Applicable	Not Applicable
	"Colorado"	"08"	"90-94 years"	"90-94"	218	Not Applicable	Not Applicable
