"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	73	Not Applicable	Not Applicable
	"Alabama"	"01"	"50-54 years"	"50-54"	102	Not Applicable	Not Applicable
	"Alabama"	"01"	"55-59 years"	"55-59"	247	Not Applicable	Not Applicable
	"Alabama"	"01"	"60-64 years "	"60-64"	447	Not Applicable	Not Applicable
	"Alabama"	"01"	"65-69 years"	"65-69"	510	Not Applicable	Not Applicable
	"Alabama"	"01"	"70-74 years"	"70-74"	713	Not Applicable	Not Applicable
	"Alabama"	"01"	"75-79 years"	"75-79"	748	Not Applicable	Not Applicable
	"Alabama"	"01"	"80-84 years"	"80-84"	696	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	552	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	358	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	109	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"35-39 years"	"35-39"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"40-44 years"	"40-44"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"45-49 years"	"45-49"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"50-54 years"	"50-54"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"55-59 years"	"55-59"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"60-64 years "	"60-64"	27	Not Applicable	Not Applicable
	"Alaska"	"02"	"65-69 years"	"65-69"	28	Not Applicable	Not Applicable
	"Alaska"	"02"	"70-74 years"	"70-74"	39	Not Applicable	Not Applicable
	"Alaska"	"02"	"75-79 years"	"75-79"	47	Not Applicable	Not Applicable
	"Alaska"	"02"	"80-84 years"	"80-84"	45	Not Applicable	Not Applicable
	"Alaska"	"02"	"85-89 years"	"85-89"	31	Not Applicable	Not Applicable
	"Alaska"	"02"	"90-94 years"	"90-94"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"25-29 years"	"25-29"	11	Not Applicable	Not Applicable
	"Arizona"	"04"	"30-34 years"	"30-34"	13	Not Applicable	Not Applicable
	"Arizona"	"04"	"35-39 years"	"35-39"	15	Not Applicable	Not Applicable
	"Arizona"	"04"	"40-44 years"	"40-44"	21	Not Applicable	Not Applicable
	"Arizona"	"04"	"45-49 years"	"45-49"	51	Not Applicable	Not Applicable
	"Arizona"	"04"	"50-54 years"	"50-54"	81	Not Applicable	Not Applicable
	"Arizona"	"04"	"55-59 years"	"55-59"	200	Not Applicable	Not Applicable
	"Arizona"	"04"	"60-64 years "	"60-64"	313	Not Applicable	Not Applicable
	"Arizona"	"04"	"65-69 years"	"65-69"	485	Not Applicable	Not Applicable
	"Arizona"	"04"	"70-74 years"	"70-74"	746	Not Applicable	Not Applicable
	"Arizona"	"04"	"75-79 years"	"75-79"	867	Not Applicable	Not Applicable
	"Arizona"	"04"	"80-84 years"	"80-84"	793	Not Applicable	Not Applicable
	"Arizona"	"04"	"85-89 years"	"85-89"	658	Not Applicable	Not Applicable
	"Arizona"	"04"	"90-94 years"	"90-94"	460	Not Applicable	Not Applicable
	"Arizona"	"04"	"95-99 years"	"95-99"	169	Not Applicable	Not Applicable
	"Arizona"	"04"	"100+ years"	"100+"	29	Not Applicable	Not Applicable
	"Arkansas"	"05"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"35-39 years"	"35-39"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"40-44 years"	"40-44"	19	Not Applicable	Not Applicable
	"Arkansas"	"05"	"45-49 years"	"45-49"	29	Not Applicable	Not Applicable
	"Arkansas"	"05"	"50-54 years"	"50-54"	75	Not Applicable	Not Applicable
	"Arkansas"	"05"	"55-59 years"	"55-59"	166	Not Applicable	Not Applicable
	"Arkansas"	"05"	"60-64 years "	"60-64"	262	Not Applicable	Not Applicable
	"Arkansas"	"05"	"65-69 years"	"65-69"	383	Not Applicable	Not Applicable
	"Arkansas"	"05"	"70-74 years"	"70-74"	436	Not Applicable	Not Applicable
	"Arkansas"	"05"	"75-79 years"	"75-79"	482	Not Applicable	Not Applicable
	"Arkansas"	"05"	"80-84 years"	"80-84"	463	Not Applicable	Not Applicable
	"Arkansas"	"05"	"85-89 years"	"85-89"	333	Not Applicable	Not Applicable
	"Arkansas"	"05"	"90-94 years"	"90-94"	215	Not Applicable	Not Applicable
	"Arkansas"	"05"	"95-99 years"	"95-99"	78	Not Applicable	Not Applicable
	"Arkansas"	"05"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"25-29 years"	"25-29"	27	Not Applicable	Not Applicable
	"California"	"06"	"30-34 years"	"30-34"	38	Not Applicable	Not Applicable
	"California"	"06"	"35-39 years"	"35-39"	53	Not Applicable	Not Applicable
	"California"	"06"	"40-44 years"	"40-44"	86	Not Applicable	Not Applicable
	"California"	"06"	"45-49 years"	"45-49"	123	Not Applicable	Not Applicable
