"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-29 years"	"25-29"	71	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	137	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	166	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	244	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	346	Not Applicable	Not Applicable
	"Alabama"	"01"	"50-54 years"	"50-54"	489	Not Applicable	Not Applicable
	"Alabama"	"01"	"55-59 years"	"55-59"	757	Not Applicable	Not Applicable
	"Alabama"	"01"	"60-64 years "	"60-64"	1002	Not Applicable	Not Applicable
	"Alabama"	"01"	"65-69 years"	"65-69"	1012	Not Applicable	Not Applicable
	"Alabama"	"01"	"70-74 years"	"70-74"	1217	Not Applicable	Not Applicable
	"Alabama"	"01"	"75-79 years"	"75-79"	1161	Not Applicable	Not Applicable
	"Alabama"	"01"	"80-84 years"	"80-84"	1175	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	996	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	610	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	212	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	36	Not Applicable	Not Applicable
	"Alaska"	"02"	"25-29 years"	"25-29"	21	Not Applicable	Not Applicable
	"Alaska"	"02"	"30-34 years"	"30-34"	37	Not Applicable	Not Applicable
	"Alaska"	"02"	"35-39 years"	"35-39"	30	Not Applicable	Not Applicable
	"Alaska"	"02"	"40-44 years"	"40-44"	36	Not Applicable	Not Applicable
	"Alaska"	"02"	"45-49 years"	"45-49"	50	Not Applicable	Not Applicable
	"Alaska"	"02"	"50-54 years"	"50-54"	65	Not Applicable	Not Applicable
	"Alaska"	"02"	"55-59 years"	"55-59"	101	Not Applicable	Not Applicable
	"Alaska"	"02"	"60-64 years "	"60-64"	93	Not Applicable	Not Applicable
	"Alaska"	"02"	"65-69 years"	"65-69"	109	Not Applicable	Not Applicable
	"Alaska"	"02"	"70-74 years"	"70-74"	103	Not Applicable	Not Applicable
	"Alaska"	"02"	"75-79 years"	"75-79"	104	Not Applicable	Not Applicable
	"Alaska"	"02"	"80-84 years"	"80-84"	88	Not Applicable	Not Applicable
	"Alaska"	"02"	"85-89 years"	"85-89"	44	Not Applicable	Not Applicable
	"Alaska"	"02"	"90-94 years"	"90-94"	39	Not Applicable	Not Applicable
	"Alaska"	"02"	"95-99 years"	"95-99"	20	Not Applicable	Not Applicable
	"Arizona"	"04"	"25-29 years"	"25-29"	125	Not Applicable	Not Applicable
	"Arizona"	"04"	"30-34 years"	"30-34"	204	Not Applicable	Not Applicable
	"Arizona"	"04"	"35-39 years"	"35-39"	293	Not Applicable	Not Applicable
	"Arizona"	"04"	"40-44 years"	"40-44"	324	Not Applicable	Not Applicable
	"Arizona"	"04"	"45-49 years"	"45-49"	408	Not Applicable	Not Applicable
	"Arizona"	"04"	"50-54 years"	"50-54"	547	Not Applicable	Not Applicable
	"Arizona"	"04"	"55-59 years"	"55-59"	874	Not Applicable	Not Applicable
	"Arizona"	"04"	"60-64 years "	"60-64"	1036	Not Applicable	Not Applicable
	"Arizona"	"04"	"65-69 years"	"65-69"	1141	Not Applicable	Not Applicable
	"Arizona"	"04"	"70-74 years"	"70-74"	1413	Not Applicable	Not Applicable
	"Arizona"	"04"	"75-79 years"	"75-79"	1369	Not Applicable	Not Applicable
	"Arizona"	"04"	"80-84 years"	"80-84"	1358	Not Applicable	Not Applicable
	"Arizona"	"04"	"85-89 years"	"85-89"	1130	Not Applicable	Not Applicable
	"Arizona"	"04"	"90-94 years"	"90-94"	812	Not Applicable	Not Applicable
	"Arizona"	"04"	"95-99 years"	"95-99"	319	Not Applicable	Not Applicable
	"Arizona"	"04"	"100+ years"	"100+"	55	Not Applicable	Not Applicable
	"Arkansas"	"05"	"25-29 years"	"25-29"	45	Not Applicable	Not Applicable
	"Arkansas"	"05"	"30-34 years"	"30-34"	65	Not Applicable	Not Applicable
	"Arkansas"	"05"	"35-39 years"	"35-39"	108	Not Applicable	Not Applicable
	"Arkansas"	"05"	"40-44 years"	"40-44"	119	Not Applicable	Not Applicable
	"Arkansas"	"05"	"45-49 years"	"45-49"	213	Not Applicable	Not Applicable
	"Arkansas"	"05"	"50-54 years"	"50-54"	264	Not Applicable	Not Applicable
	"Arkansas"	"05"	"55-59 years"	"55-59"	397	Not Applicable	Not Applicable
	"Arkansas"	"05"	"60-64 years "	"60-64"	505	Not Applicable	Not Applicable
	"Arkansas"	"05"	"65-69 years"	"65-69"	590	Not Applicable	Not Applicable
	"Arkansas"	"05"	"70-74 years"	"70-74"	695	Not Applicable	Not Applicable
	"Arkansas"	"05"	"75-79 years"	"75-79"	616	Not Applicable	Not Applicable
	"Arkansas"	"05"	"80-84 years"	"80-84"	654	Not Applicable	Not Applicable
	"Arkansas"	"05"	"85-89 years"	"85-89"	532	Not Applicable	Not Applicable
	"Arkansas"	"05"	"90-94 years"	"90-94"	351	Not Applicable	Not Applicable
	"Arkansas"	"05"	"95-99 years"	"95-99"	115	Not Applicable	Not Applicable
	"Arkansas"	"05"	"100+ years"	"100+"	28	Not Applicable	Not Applicable
	"California"	"06"	"25-29 years"	"25-29"	396	Not Applicable	Not Applicable
	"California"	"06"	"30-34 years"	"30-34"	713	Not Applicable	Not Applicable
	"California"	"06"	"35-39 years"	"35-39"	925	Not Applicable	Not Applicable
	"California"	"06"	"40-44 years"	"40-44"	1197	Not Applicable	Not Applicable
	"California"	"06"	"45-49 years"	"45-49"	1478	Not Applicable	Not Applicable
	"California"	"06"	"50-54 years"	"50-54"	2210	Not Applicable	Not Applicable
	"California"	"06"	"55-59 years"	"55-59"	3165	Not Applicable	Not Applicable
	"California"	"06"	"60-64 years "	"60-64"	3893	Not Applicable	Not Applicable
	"California"	"06"	"65-69 years"	"65-69"	4200	Not Applicable	Not Applicable
	"California"	"06"	"70-74 years"	"70-74"	4530	Not Applicable	Not Applicable
	"California"	"06"	"75-79 years"	"75-79"	4642	Not Applicable	Not Applicable
	"California"	"06"	"80-84 years"	"80-84"	4678	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	4646	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	3507	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	1607	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	307	Not Applicable	Not Applicable
	"Colorado"	"08"	"25-29 years"	"25-29"	91	Not Applicable	Not Applicable
	"Colorado"	"08"	"30-34 years"	"30-34"	149	Not Applicable	Not Applicable
	"Colorado"	"08"	"35-39 years"	"35-39"	222	Not Applicable	Not Applicable
	"Colorado"	"08"	"40-44 years"	"40-44"	256	Not Applicable	Not Applicable
	"Colorado"	"08"	"45-49 years"	"45-49"	294	Not Applicable	Not Applicable
	"Colorado"	"08"	"50-54 years"	"50-54"	455	Not Applicable	Not Applicable
	"Colorado"	"08"	"55-59 years"	"55-59"	600	Not Applicable	Not Applicable
	"Colorado"	"08"	"60-64 years "	"60-64"	729	Not Applicable	Not Applicable
	"Colorado"	"08"	"65-69 years"	"65-69"	801	Not Applicable	Not Applicable
	"Colorado"	"08"	"70-74 years"	"70-74"	874	Not Applicable	Not Applicable
	"Colorado"	"08"	"75-79 years"	"75-79"	823	Not Applicable	Not Applicable
	"Colorado"	"08"	"80-84 years"	"80-84"	789	Not Applicable	Not Applicable
	"Colorado"	"08"	"85-89 years"	"85-89"	823	Not Applicable	Not Applicable
	"Colorado"	"08"	"90-94 years"	"90-94"	611	Not Applicable	Not Applicable
	"Colorado"	"08"	"95-99 years"	"95-99"	283	Not Applicable	Not Applicable
