"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-29 years"	"25-29"	85	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	74	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	74	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	62	Not Applicable	Not Applicable
	"Alabama"	"01"	"50-54 years"	"50-54"	58	Not Applicable	Not Applicable
	"Alabama"	"01"	"55-59 years"	"55-59"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"60-64 years "	"60-64"	53	Not Applicable	Not Applicable
	"Alabama"	"01"	"65-69 years"	"65-69"	38	Not Applicable	Not Applicable
	"Alabama"	"01"	"70-74 years"	"70-74"	47	Not Applicable	Not Applicable
	"Alabama"	"01"	"75-79 years"	"75-79"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"80-84 years"	"80-84"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"25-29 years"	"25-29"	31	Not Applicable	Not Applicable
	"Alaska"	"02"	"30-34 years"	"30-34"	21	Not Applicable	Not Applicable
	"Alaska"	"02"	"35-39 years"	"35-39"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"40-44 years"	"40-44"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"45-49 years"	"45-49"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"50-54 years"	"50-54"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"55-59 years"	"55-59"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"60-64 years "	"60-64"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"65-69 years"	"65-69"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"70-74 years"	"70-74"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"75-79 years"	"75-79"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"80-84 years"	"80-84"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"25-29 years"	"25-29"	124	Not Applicable	Not Applicable
	"Arizona"	"04"	"30-34 years"	"30-34"	134	Not Applicable	Not Applicable
	"Arizona"	"04"	"35-39 years"	"35-39"	106	Not Applicable	Not Applicable
	"Arizona"	"04"	"40-44 years"	"40-44"	85	Not Applicable	Not Applicable
	"Arizona"	"04"	"45-49 years"	"45-49"	91	Not Applicable	Not Applicable
	"Arizona"	"04"	"50-54 years"	"50-54"	104	Not Applicable	Not Applicable
	"Arizona"	"04"	"55-59 years"	"55-59"	129	Not Applicable	Not Applicable
	"Arizona"	"04"	"60-64 years "	"60-64"	93	Not Applicable	Not Applicable
	"Arizona"	"04"	"65-69 years"	"65-69"	73	Not Applicable	Not Applicable
	"Arizona"	"04"	"70-74 years"	"70-74"	58	Not Applicable	Not Applicable
	"Arizona"	"04"	"75-79 years"	"75-79"	60	Not Applicable	Not Applicable
	"Arizona"	"04"	"80-84 years"	"80-84"	50	Not Applicable	Not Applicable
	"Arizona"	"04"	"85-89 years"	"85-89"	37	Not Applicable	Not Applicable
	"Arizona"	"04"	"90-94 years"	"90-94"	14	Not Applicable	Not Applicable
	"Arizona"	"04"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"25-29 years"	"25-29"	54	Not Applicable	Not Applicable
	"Arkansas"	"05"	"30-34 years"	"30-34"	63	Not Applicable	Not Applicable
	"Arkansas"	"05"	"35-39 years"	"35-39"	60	Not Applicable	Not Applicable
	"Arkansas"	"05"	"40-44 years"	"40-44"	40	Not Applicable	Not Applicable
	"Arkansas"	"05"	"45-49 years"	"45-49"	52	Not Applicable	Not Applicable
	"Arkansas"	"05"	"50-54 years"	"50-54"	32	Not Applicable	Not Applicable
	"Arkansas"	"05"	"55-59 years"	"55-59"	61	Not Applicable	Not Applicable
	"Arkansas"	"05"	"60-64 years "	"60-64"	27	Not Applicable	Not Applicable
	"Arkansas"	"05"	"65-69 years"	"65-69"	26	Not Applicable	Not Applicable
	"Arkansas"	"05"	"70-74 years"	"70-74"	27	Not Applicable	Not Applicable
	"Arkansas"	"05"	"75-79 years"	"75-79"	26	Not Applicable	Not Applicable
	"Arkansas"	"05"	"80-84 years"	"80-84"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"25-29 years"	"25-29"	360	Not Applicable	Not Applicable
	"California"	"06"	"30-34 years"	"30-34"	396	Not Applicable	Not Applicable
	"California"	"06"	"35-39 years"	"35-39"	304	Not Applicable	Not Applicable
	"California"	"06"	"40-44 years"	"40-44"	312	Not Applicable	Not Applicable
	"California"	"06"	"45-49 years"	"45-49"	287	Not Applicable	Not Applicable
	"California"	"06"	"50-54 years"	"50-54"	304	Not Applicable	Not Applicable
