"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-29 years"	"25-29"	93	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	88	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"50-54 years"	"50-54"	76	Not Applicable	Not Applicable
	"Alabama"	"01"	"55-59 years"	"55-59"	83	Not Applicable	Not Applicable
	"Alabama"	"01"	"60-64 years "	"60-64"	74	Not Applicable	Not Applicable
	"Alabama"	"01"	"65-69 years"	"65-69"	59	Not Applicable	Not Applicable
	"Alabama"	"01"	"70-74 years"	"70-74"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"75-79 years"	"75-79"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"80-84 years"	"80-84"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"25-29 years"	"25-29"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"30-34 years"	"30-34"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"35-39 years"	"35-39"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"40-44 years"	"40-44"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"45-49 years"	"45-49"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"50-54 years"	"50-54"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"55-59 years"	"55-59"	Suppressed	Not Applicable	Not Applicable
