state,year,pop,startAge,endAge,ageGroup,cause,deaths,CDR
Alabama,2019,689704,25,30,25-29,All Causes,493,7.14799392203032e-4
Alabama,2019,689704,25,30,25-29,Circulatory,46,6.669527797431942e-5
Alabama,2019,689704,25,30,25-29,COVID-19,0,0
Alabama,2019,689704,25,30,25-29,Dementia,0,0
Alabama,2019,689704,25,30,25-29,Diabetes,0,0
Alabama,2019,689704,25,30,25-29,Drugs,70,1.0149281430874693e-4
Alabama,2019,689704,25,30,25-29,External Causes,333,4.828158166401819e-4
Alabama,2019,689704,25,30,25-29,Homicide,82,1.188915824759607e-4
Alabama,2019,689704,25,30,25-29,Influenza,0,0
Alabama,2019,689704,25,30,25-29,Neoplasms,16,2.3198357556285016e-5
Alabama,2019,689704,25,30,25-29,Non COVID-19,493,7.14799392203032e-4
Alabama,2019,689704,25,30,25-29,Not Classified,16,2.3198357556285016e-5
Alabama,2019,689704,25,30,25-29,Other Causes,60,8.699384083606881e-5
Alabama,2019,689704,25,30,25-29,Other External Causes,23,3.334763898715971e-5
Alabama,2019,689704,25,30,25-29,Other Respiratory,0,0
Alabama,2019,689704,25,30,25-29,Suicide,61,8.844373818333662e-5
Alabama,2019,689704,25,30,25-29,Transport,97,1.406400426849779e-4
Alabama,2020,676862,25,30,25-29,All Causes,632,9.337206107005564e-4
Alabama,2020,676862,25,30,25-29,Circulatory,54,7.977992559783234e-5
Alabama,2020,676862,25,30,25-29,COVID-19,18,2.6593308532610784e-5
Alabama,2020,676862,25,30,25-29,Dementia,0,0
Alabama,2020,676862,25,30,25-29,Diabetes,13,1.9206278384663343e-5
Alabama,2020,676862,25,30,25-29,Drugs,112,1.6546947531402266e-4
Alabama,2020,676862,25,30,25-29,External Causes,427,6.308523746347114e-4
Alabama,2020,676862,25,30,25-29,Homicide,113,1.6694688134361214e-4
Alabama,2020,676862,25,30,25-29,Influenza,0,0
Alabama,2020,676862,25,30,25-29,Neoplasms,21,3.1025526621379244e-5
Alabama,2020,676862,25,30,25-29,Non COVID-19,614,9.071273021679456e-4
Alabama,2020,676862,25,30,25-29,Not Classified,23,3.3980338680558225e-5
Alabama,2020,676862,25,30,25-29,Other Causes,71,1.0489582810085364e-4
Alabama,2020,676862,25,30,25-29,Other External Causes,24,3.545774471014771e-5
Alabama,2020,676862,25,30,25-29,Other Respiratory,0,0
Alabama,2020,676862,25,30,25-29,Suicide,85,1.2557951251510648e-4
Alabama,2020,676862,25,30,25-29,Transport,93,1.3739876075182238e-4
Alabama,2019,628660,30,35,30-34,All Causes,654,0.0010403079566061145
Alabama,2019,628660,30,35,30-34,Circulatory,87,1.3838959055769416e-4
Alabama,2019,628660,30,35,30-34,COVID-19,0,0
Alabama,2019,628660,30,35,30-34,Dementia,0,0
Alabama,2019,628660,30,35,30-34,Diabetes,15,2.3860274234085197e-5
Alabama,2019,628660,30,35,30-34,Drugs,115,1.829287691279865e-4
Alabama,2019,628660,30,35,30-34,External Causes,375,5.9650685585213e-4
Alabama,2019,628660,30,35,30-34,Homicide,69,1.097572614767919e-4
Alabama,2019,628660,30,35,30-34,Influenza,0,0
Alabama,2019,628660,30,35,30-34,Neoplasms,36,5.7264658161804475e-5
Alabama,2019,628660,30,35,30-34,Non COVID-19,654,0.0010403079566061145
Alabama,2019,628660,30,35,30-34,Not Classified,18,2.8632329080902237e-5
Alabama,2019,628660,30,35,30-34,Other Causes,107,1.702032895364744e-4
Alabama,2019,628660,30,35,30-34,Other External Causes,27,4.2948493621353356e-5
Alabama,2019,628660,30,35,30-34,Other Respiratory,0,0
Alabama,2019,628660,30,35,30-34,Suicide,76,1.20892056119365e-4
Alabama,2019,628660,30,35,30-34,Transport,88,1.3998027550663316e-4
Alabama,2020,646672,30,35,30-34,All Causes,823,0.001272669916124403
Alabama,2020,646672,30,35,30-34,Circulatory,105,1.623697948882896e-4
Alabama,2020,646672,30,35,30-34,COVID-19,41,6.340153895637974e-5
Alabama,2020,646672,30,35,30-34,Dementia,0,0
Alabama,2020,646672,30,35,30-34,Diabetes,25,3.865947497340228e-5
Alabama,2020,646672,30,35,30-34,Drugs,143,2.2113219684786106e-4
Alabama,2020,646672,30,35,30-34,External Causes,434,6.711284855382636e-4
Alabama,2020,646672,30,35,30-34,Homicide,85,1.3144221490956777e-4
Alabama,2020,646672,30,35,30-34,Influenza,0,0
Alabama,2020,646672,30,35,30-34,Neoplasms,36,5.5669643961699284e-5
Alabama,2020,646672,30,35,30-34,Non COVID-19,782,0.0012092683771680233
Alabama,2020,646672,30,35,30-34,Not Classified,24,3.711309597446619e-5
Alabama,2020,646672,30,35,30-34,Other Causes,137,2.118539228542445e-4
Alabama,2020,646672,30,35,30-34,Other External Causes,33,5.103050696489101e-5
