state,ageGroupPop,year,pop,startAge,endAge,ageGroup
Alabama,"[25,30)",2019,689704,25,30,25-29
Alabama,"[25,30)",2020,676862,25,30,25-29
Alabama,"[30,35)",2019,628660,30,35,30-34
Alabama,"[30,35)",2020,646672,30,35,30-34
Alabama,"[35,40)",2019,617290,35,40,35-39
Alabama,"[35,40)",2020,614146,35,40,35-39
Alabama,"[40,45)",2019,585774,40,45,40-44
Alabama,"[40,45)",2020,594378,40,45,40-44
Alabama,"[45,50)",2019,624762,45,50,45-49
Alabama,"[45,50)",2020,611708,45,50,45-49
Alabama,"[50,55)",2019,621606,50,55,50-54
Alabama,"[50,55)",2020,617406,50,55,50-54
Alabama,"[55,60)",2019,679400,55,60,55-59
Alabama,"[55,60)",2020,671804,55,60,55-59
Alabama,"[60,65)",2019,648790,60,65,60-64
Alabama,"[60,65)",2020,655490,60,65,60-64
Alabama,"[65,70)",2019,556852,65,70,65-69
Alabama,"[65,70)",2020,569036,65,70,65-69
Alabama,"[70,75)",2019,456652,70,75,70-74
Alabama,"[70,75)",2020,475448,70,75,70-74
Alabama,"[75,80)",2019,314476,75,80,75-79
Alabama,"[75,80)",2020,323412,75,80,75-79
Alabama,"[80,85)",2019,203782,80,85,80-84
Alabama,"[80,85)",2020,208332,80,85,80-84
Alabama,"[85,Inf)",2019,185544,85,Inf,85+
Alabama,"[85,Inf)",2020,187298,85,Inf,85+
Alaska,"[25,30)",2019,131652,25,30,25-29
Alaska,"[25,30)",2020,127398,25,30,25-29
Alaska,"[30,35)",2019,123230,30,35,30-34
Alaska,"[30,35)",2020,123914,30,35,30-34
Alaska,"[35,40)",2019,112136,35,40,35-39
Alaska,"[35,40)",2020,114234,35,40,35-39
Alaska,"[40,45)",2019,92126,40,45,40-44
Alaska,"[40,45)",2020,94308,40,45,40-44
Alaska,"[45,50)",2019,88982,45,50,45-49
Alaska,"[45,50)",2020,86582,45,50,45-49
Alaska,"[50,55)",2019,89232,50,55,50-54
Alaska,"[50,55)",2020,88014,50,55,50-54
Alaska,"[55,60)",2019,99916,55,60,55-59
Alaska,"[55,60)",2020,96568,55,60,55-59
Alaska,"[60,65)",2019,93434,60,65,60-64
Alaska,"[60,65)",2020,92930,60,65,60-64
Alaska,"[65,70)",2019,74712,65,70,65-69
Alaska,"[65,70)",2020,77310,65,70,65-69
Alaska,"[70,75)",2019,51276,70,75,70-74
Alaska,"[70,75)",2020,54666,70,75,70-74
Alaska,"[75,80)",2019,30688,75,80,75-79
Alaska,"[75,80)",2020,32612,75,80,75-79
Alaska,"[80,85)",2019,16468,80,85,80-84
Alaska,"[80,85)",2020,17248,80,85,80-84
Alaska,"[85,Inf)",2019,14698,85,Inf,85+
Alaska,"[85,Inf)",2020,15072,85,Inf,85+
Arizona,"[25,30)",2019,1094500,25,30,25-29
Arizona,"[25,30)",2020,1101658,25,30,25-29
Arizona,"[30,35)",2019,993904,30,35,30-34
Arizona,"[30,35)",2020,1033562,30,35,30-34
Arizona,"[35,40)",2019,961016,35,40,35-39
Arizona,"[35,40)",2020,971866,35,40,35-39
Arizona,"[40,45)",2019,879412,40,45,40-44
Arizona,"[40,45)",2020,905906,40,45,40-44
Arizona,"[45,50)",2019,883710,45,50,45-49
Arizona,"[45,50)",2020,884228,45,50,45-49
Arizona,"[50,55)",2019,850872,50,55,50-54
Arizona,"[50,55)",2020,867860,50,55,50-54
Arizona,"[55,60)",2019,907016,55,60,55-59
Arizona,"[55,60)",2020,911678,55,60,55-59
Arizona,"[60,65)",2019,878662,60,65,60-64
Arizona,"[60,65)",2020,904142,60,65,60-64
Arizona,"[65,70)",2019,807536,65,70,65-69
Arizona,"[65,70)",2020,834848,65,70,65-69
Arizona,"[70,75)",2019,716698,70,75,70-74
Arizona,"[70,75)",2020,756046,70,75,70-74
Arizona,"[75,80)",2019,512492,75,80,75-79
Arizona,"[75,80)",2020,538614,75,80,75-79
Arizona,"[80,85)",2019,321614,80,85,80-84
Arizona,"[80,85)",2020,338496,80,85,80-84
Arizona,"[85,Inf)",2019,297344,85,Inf,85+
Arizona,"[85,Inf)",2020,306236,85,Inf,85+
Arkansas,"[25,30)",2019,422200,25,30,25-29
Arkansas,"[25,30)",2020,415742,25,30,25-29
Arkansas,"[30,35)",2019,391432,30,35,30-34
Arkansas,"[30,35)",2020,399948,30,35,30-34
Arkansas,"[35,40)",2019,390630,35,40,35-39
Arkansas,"[35,40)",2020,388160,35,40,35-39
Arkansas,"[40,45)",2019,361842,40,45,40-44
Arkansas,"[40,45)",2020,369070,40,45,40-44
Arkansas,"[45,50)",2019,369536,45,50,45-49
Arkansas,"[45,50)",2020,364014,45,50,45-49
Arkansas,"[50,55)",2019,363358,50,55,50-54
Arkansas,"[50,55)",2020,361092,50,55,50-54
Arkansas,"[55,60)",2019,400840,55,60,55-59
Arkansas,"[55,60)",2020,397138,55,60,55-59
Arkansas,"[60,65)",2019,380216,60,65,60-64
Arkansas,"[60,65)",2020,384460,60,65,60-64
Arkansas,"[65,70)",2019,333244,65,70,65-69
Arkansas,"[65,70)",2020,339984,65,70,65-69
Arkansas,"[70,75)",2019,278926,70,75,70-74
Arkansas,"[70,75)",2020,287992,70,75,70-74
Arkansas,"[75,80)",2019,197700,75,80,75-79
Arkansas,"[75,80)",2020,202672,75,80,75-79
Arkansas,"[80,85)",2019,127464,80,85,80-84
Arkansas,"[80,85)",2020,130426,80,85,80-84
Arkansas,"[85,Inf)",2019,122080,85,Inf,85+
