ageGroup,cause,estimate_intercept,estimate_beta,std.error_intercept,std.error_beta,p.value_intercept,p.value_beta,ACDecomp,NonCovidDecomp
25Plus,All Causes,0.03745506673991903,0.9429498705146447,0.04011376298129513,0.04439603448867223,0.3550263297800651,2.2837798521112794e-26,1,2.1392996050610997
25Plus,Circulatory,0.13712600241022838,0.5454548110453574,0.09407135801104055,0.10411377403316219,0.15130826150801865,3.3913790586437958e-6,0.5784557886917766,1.2374902402936245
25Plus,COVID-19,-0,1,5.942237716219302e-18,6.576590451316553e-18,1,0,1.0605017628924625,2.2687310025224448
25Plus,Dementia,0.20193402324316564,0.37782241136524447,0.12414992596109016,0.13740332457228638,0.11025100673864137,0.008330667336597044,0.40068133331312294,0.8571774181121187
25Plus,Diabetes,0.03896431207178753,0.3384741953653919,0.0852879428067763,0.09439270137990166,0.6497934436595114,7.732336718582226e-4,0.3589524808786059,0.7679069005793034
25Plus,Drugs,0.024188310098267166,-0.1162160459181964,0.10375484016688796,0.11483099864163156,0.8166320186184837,0.3164801894697,-0.12324732157263865,-0.2636629463651842
25Plus,External Causes,0.0016307991176739358,-0.0171684900804541,0.10168488817232653,0.11254007270224023,0.987269382125969,0.8793760971682556,-0.01820721399652333,-0.03895068571202528
25Plus,Homicide,0.0241265753209218,0.17029251451935787,0.1036454854601577,0.11470996997289862,0.8169020137504688,0.14406850473920002,0.18059551185516928,0.3863479071875708
25Plus,Influenza,0.24111336054399793,0.4926217276025165,0.10063806348004727,0.11138149615175068,0.020445771349579447,5.414388255164517e-5,0.5224262105615992,1.117626185927996
25Plus,Neoplasms,0.035868862489245444,-0.32647054600626035,0.09419750700140601,0.10425338982860845,0.705009772702272,0.0029313813135392686,-0.3462225895721039,-0.740673849134833
25Plus,Non COVID-19,0.10708085572585886,0.44077504071137974,0.09600311962485585,0.10625175733008767,0.2701241199471308,1.327007043270361e-4,0.4674427077134152,1
25Plus,Not Classified,0.012604203411006386,0.0654557266987922,0.09120049666521085,0.10093643912740721,0.8906461960628649,0.5196992105879304,0.06941591355547636,0.14850143645418598
25Plus,Other Causes,-0.14566734483325686,0.25164872600285165,0.10118550222995043,0.11198737572561339,0.1563370627024861,0.02916980283846871,0.2668739175556665,0.5709232664279457
25Plus,Other External Causes,-0.09739059041634314,-0.021619010629837232,0.07708177527785844,0.08531049942334272,0.2123984602370794,0.8010073422315966,-0.02292699888493327,-0.04904771965977402
25Plus,Other Respiratory,0.1534143291845432,0.3357106684010904,0.10249802463517807,0.11344001406315385,0.14087135214286392,0.0047379470631450146,0.35602175566116323,0.7616372012790859
25Plus,Suicide,-0.22201018378972642,0.149945616373899,0.0704903108895912,0.07801537529228524,0.0027855024106348985,0.06043047996484755,0.1590175905025168,0.3401862685598018
25Plus,Transport,5.998058192897036e-4,0.0016064871875723869,0.08758440852478057,0.09693432210160037,0.9945636822061805,0.9868446069044259,0.0017036824944846704,0.003644687287600564
2564,All Causes,-0.0721745023947043,0.7833709377526709,0.05366943054875834,0.05303489885139386,0.18488268353437,1.121775818638861e-19,1,3.256152021241955
2564,Circulatory,-0.07675126550170648,0.2856606190455715,0.10657709297088878,0.10531703593261722,0.4748553381134396,0.009189130175948051,0.36465562516918576,1.187374150951893
2564,COVID-19,-0,1,1.2995954410330516e-17,1.2842303720793822e-17,1,0,1.2765344638247536,4.156590274567987
2564,Dementia,-0.08861005794428534,0.14157384726203626,0.09401976335465251,0.09290817116115914,0.3505798115798052,0.13398623608136198,0.18072389520625098,0.5884644766625534
2564,Diabetes,-0.10021066060849104,0.27102700930966767,0.08028450659341714,0.0793353058338803,0.21789145448624786,0.001285022896486407,0.34597531801114306,1.1265482310418118
2564,Drugs,0.03214041042476764,-0.07338598737392632,0.1082018341958993,0.10692256790206563,0.7676905957080425,0.495729434416852,-0.09367974204462516,-0.30503548140803116
2564,External Causes,0.004171033058906079,0.012639243613800607,0.1109377666373652,0.10962615351521217,0.9701610014709814,0.9086832371025053,0.0161344300696934,0.05253615708301913
2564,Homicide,0.022180825144182348,0.12761751210770683,0.10458000730693816,0.10334356173879349,0.8329132482781602,0.2227618590066006,0.16290815239306053,0.5304537096914564
2564,Influenza,0.03462979114088716,0.37764100662770134,0.114069777660272,0.1127211348873437,0.7627299780675871,0.0015607702332969269,0.4820717599137329,1.5696989354267679
2564,Neoplasms,0.019792902048982985,0.06864294173108505,0.09210041138302855,0.0910115116170855,0.8307327948216534,0.4543250122158743,0.08762508081804445,0.2853205840171651
2564,Non COVID-19,-0.10154159474172157,0.24058180718905103,0.10286673058935479,0.10165054102863459,0.3284342485062304,0.02194072819159673,0.3071109682460655,1
2564,Not Classified,0.1073041960630968,0.20831838742518954,0.12562973356270618,0.12414441785762208,0.3971892455420658,0.09970867827149031,0.2659256009966516,0.8658941831852288
2564,Other Causes,-0.24493186263705197,0.09979089117264543,0.08891128046957836,0.0878600856807692,0.008220283704086579,0.26156798954738436,0.12738651175766727,0.4147898477386903
2564,Other External Causes,-0.16090428481188881,0.030200315457042617,0.0810307969932729,0.0800727728698713,0.052674926810343546,0.7076826632909573,0.038551743499294314,0.12553033751762857
2564,Other Respiratory,0.19716958733264547,0.24839901041677856,0.1012053555768642,0.10000880839162397,0.05712904558002057,0.01646829745843778,0.31708989757698175,1.0324929109106937
2564,Suicide,-0.16071368066789463,0.08636876492163512,0.07320768852162911,0.07234215672107167,0.03290786610335355,0.23826797401805905,0.11025270502044565,0.3589995682997172
2564,Transport,0.03287610518524971,0.03558299412219877,0.08823602810536386,0.08719281680034487,0.7110583705795742,0.6849813900250228,0.04542291832306036,0.14790392730834123
65Plus,All Causes,0.09621447390820673,0.9610502294336214,0.04347831927615192,0.04994355229392741,0.03159164957508558,1.733322265407807e-24,1,2.5123046926712544
65Plus,Circulatory,0.2497051362397978,0.44749712041790596,0.1050742507344464,0.12069880859399959,0.021431219587835327,5.331621290262148e-4,0.46563343591482287,1.1698130661134494
65Plus,COVID-19,-0,1,3.425985902237575e-17,3.9354305528666755e-17,1,0,1.040528340115306,2.614124231729114
65Plus,Dementia,0.2432966778218841,0.31108046380871723,0.12484102587070421,0.1434049063488292,0.05705053509851751,0.034943905654765496,0.32368803864918405,0.8132029784598994
65Plus,Diabetes,0.1370082622215,0.26885304947315103,0.09430133159564964,0.10832395465934294,0.1526321918145424,0.01654363220288993,0.27974921730323604,0.7028152714020305
65Plus,Drugs,-0.09967069246863579,-0.042117604457725326,0.07518486123285001,0.08636486210160739,0.19109483869308663,0.6279581071643368,-0.04382456105602994,-0.11010065039532194
65Plus,External Causes,-0.04091675306668955,0.027933031222163986,0.07511369512466526,0.08628311358177376,0.5884093302520932,0.7475149618137689,0.029065110611987306,0.07302041378350478
65Plus,Homicide,0.06989298618231869,-0.13711924216737523,0.13862809528738004,0.1592421151889014,0.6163971679130802,0.39339136877757175,-0.14267645745028762,-0.3584467335860681
65Plus,Influenza,0.2849840854194776,0.39654739581516557,0.09890599873603968,0.11361333653865446,0.0058607518312944066,0.0010307490583386105,0.41261880354460145,1.0366241564295007
65Plus,Neoplasms,0.014011216435211775,-0.4588370142097396,0.0849268613324915,0.09755549917139787,0.8696386313037332,2.1222591064082858e-5,-0.47743291677912336,-1.199456957259916
65Plus,Non COVID-19,0.23416818001581202,0.38253729025668737,0.1039975154567578,0.11946196260861548,0.028859943298153504,0.0023970933904222847,0.3980408916629979,1
65Plus,Not Classified,-0.04838884374584906,0.03955688947875891,0.08293465541283156,0.09526705191342433,0.562261489423046,0.67979265359441,0.04116006454945762,0.10340662331825412
65Plus,Other Causes,0.010815787583593356,0.2638971024364418,0.10135976348800084,0.11643197650098133,0.9154571848463855,0.02786882783533886,0.2745924139594297,0.6898598101622028
65Plus,Other External Causes,-0.01643542258469768,0.0385047631411163,0.07878357773938116,0.09049870832720294,0.8356137176692678,0.6723547647454129,0.04006529727775875,0.10065623436418215
65Plus,Other Respiratory,0.14214219726860514,0.22405060450374578,0.10246533139005812,0.11770194252658094,0.17165169330042315,0.06285201669616884,0.2331310036061135,0.585696114366798
65Plus,Suicide,-0.20848520015283023,0.13546752976045323,0.07513991970277266,0.08631323775883254,0.007800173337243913,0.12297024117472288,0.14095780388116522,0.3541289521592857
65Plus,Transport,-0.08029094574062744,-0.10460790426225725,0.08554242260029764,0.09826259449800252,0.35253500362951307,0.2922863121754537,-0.10884748898494737,-0.27345805736236595
